id,term,categories,alternative spellings,notable_names,appeared_year,search_results_gscholar,source_1_citation,source_1_doi,source_2_citation,source_2_doi,source_3_citation,source_3_doi,definition,definition_url,parent_id,sibling_id_1,sibling_id_2,sibling_id_3
B320999A,Data-driven Journalism,Technology,,,2013-02-07T19:05:03+0000',1810,"Parasie, S., & Dagiral, E. (2013). Data-driven journalism and the public good:“Computer-assisted-reporters” and “programmer-journalists” in Chicago. New media & society, 15(6), 853-871.",https://doi.org/10.1177/1461444812463345,"Howard, A. B. (2014). The art and science of data-driven journalism.",https://doi.org/10.7916/D8Q531V1,"Parasie, S. (2015). Data-driven revelation? Epistemological tensions in investigative journalism in the age of “big data”. Digital Journalism, 3(3), 364-380.",https://doi.org/10.1080/21670811.2014.976408 ,"""Data-driven journalism, often shortened to ""ddj"", a term in use since 2009, is a journalistic process based on analyzing and filtering large data sets for the purpose of creating or elevating a news story. Many data-driven stories begin with newly available resources such as open source software, open access publishing and open data, while others are products of public records requests or leaked materials.""",Data-driven journalism. https://en.wikipedia.org/wiki/Data-driven_journalism (02.12.19) (Ausführliche Definition angegeben!),,,,
6D217F3E,Datafied Journalism,Technology,,,null,37,"Hanitzsch, T. (2007). Deconstructing journalism culture: Toward a universal theory. Communication theory, 17(4), 367-385.",https://doi.org/10.1111/j.1468-2885.2007.00303.x,"Baack, S. (2015). Datafication and empowerment: How the open data movement re-articulates notions of democracy, participation, and journalism. Big Data & Society, 2(2), 2053951715594634.",https://doi.org/10.1177/2053951715594634,"Borges-Rey, E. (2016). Unravelling data journalism: A study of data journalism practice in British newsrooms. Journalism Practice, 10(7), 833-843.",https://doi.org/10.1080/17512786.2016.1159921 ,,,,,,
D3E6CB61,Democratic Journalism,"Audience, Motivation",,,1973-03-01T05:00:00+0000',1100,"Waisbord, S. (2007). Democratic journalism and “statelessness”. Political Communication, 24(2), 115-129.",https://doi.org/10.1080/10584600701312837,"Berger, G. (2000). Grave new world? Democratic journalism enters the global twenty-first century. Journalism Studies, 1(1), 81-99.",https://doi.org/10.1080/146167000361186,"Christians, C. G., Glasser, T., McQuail, D., Nordenstreng, K., & White, R. A. (2010). Normative theories of the media: Journalism in democratic societies. University of Illinois Press.",,"""Democratic journalism is a term describing a relatively new phenomenon where news stories are ranked by a vote among the stories' readers. This phenomenon has been brought about largely due to the creation of social networking sites such as Digg and Newsvine. The effect of democratic journalism is that it promotes news based on the popular opinion of the majority, or the ""wisdom of the crowd"". This differs from more traditional approaches, such as the one commonly used in the newspaper industry, where an editor would decide whether to print a particular news story. """,Democratic Journalism. https://en.wikipedia.org/wiki/Democratic_journalism (05.12.19),,,,
6C43B66F,Disinfectant Journalism,Beat,,,null,1,"Rieg, T. ""Die Corona-Berichterstattung ist kein Leuchtturm der Orientierung."" Journalistik. Zeitschrift für Journalismusforschung 2/2020, S. 159-171, 3. Jahrgang.
DOI: 10.1453/2569-152X-22020-10684-de.",DOI: 10.1453/2569-152X-22020-10684-de,,,,,,,,,,
483E862D,Development Journalism,"Motivation, Beat",,,1977-03-06T05:00:00+0000',4020,"Ogan, C. L. (1982). Development journalism/communication: The status of the concept. Gazette (Leiden, Netherlands), 29(1-2), 3-13.",,"Xiaoge, X. (2009). Development journalism. The handbook of journalism studies, 357.",,"Edeani, D. O. (1993). Role of development journalism in Nigeria's development. Gazette (Leiden, Netherlands), 52(2), 123-143.",,"""Although there are different approaches to development journalism, it mainly refers to to the kind of journalism that pays continuing attention to reporting policies, agendas, activities, and events that affect the development issues and are committed to the improvement of the life of the people. [...] [It] can be defined as a type of reporting on topics and themes that seek to endorse improvement of the living conditions of people in developing nations. Usually, development journalism is conceptualized in contrast to the established Western theoretical and ethical perspectives on journalism.""","Chattopadhyay, S. (2019, 29 Apr). Development Journalism. https://doi.org/10.1002/9781118841570.iejs0122",,,,
3591D8F8,Dialogue Journalism,Audience,Dialogue-based Journalism,,null,80,"Soffer, O. (2009). The competing ideals of objectivity and dialogue in American journalism. Journalism, 10(4), 473-491.",https://doi.org/10.1177/1464884909104950,"Anderson, R., Baxter, L. A., & Cissna, K. N. (Eds.). (2003). Dialogue: Theorizing difference in communication studies. SAGE publications.",,"Peters, C., & Broersma, M. J. (Eds.). (2013). Rethinking journalism: Trust and participation in a transformed news landscape. Routledge.",,,,,,,
38FB1A59,Digital Journalism,"Medium, Technology",,,1997-11-30T05:00:00+0000',26000,"Kawamoto, K. (Ed.). (2003). Digital journalism: Emerging media and the changing horizons of journalism. Rowman & Littlefield Publishers.",,"Scott, B. (2005). A contemporary history of digital journalism. Television & new media, 6(1), 89-126.",https://doi.org/10.1177/1527476403255824,"Jones, J., & Salter, L. (2011). Digital journalism. Sage.",,"""Digital journalism, also known as online journalism, is a contemporary form of journalism where editorial content is distributed via the Internet, as opposed to publishing via print or broadcast. What constitutes digital journalism is debated by scholars; however, the primary product of journalism, which is news and features on current affairs, is presented solely or in combination as text, audio, video, or some interactive forms like newsgames, and disseminated through digital media technology.""","Digital journalism. https://en.wikipedia.org/wiki/Digital_journalism (02.12.19) (Franklin, Bob (2013). ""Digital Journalism"", 1:1, p. 1. doi: 10.1080/21670811.2012.740264"". Digital Journalism. 1: 1–5. doi: 10.1080/21670811.2012.740264 und Kawamoto 2003, p. 4.)",,,,
9ADA2FC3,Digital Radio Journalism,"Medium, Technology",,,null,13,"Fleming, C. (2009). The radio handbook. Routledge.",https://doi.org/10.4324/9780203873779,"Wilby, P. (2002). The radio handbook. Routledge.",,"Herbert, J. (1999). Journalism in the digital age: Theory and practice for broadcast, print and online media. Routledge.",https://doi.org/10.4324/9780080573731,,,,,,
D3BA5755,Discursive Journalism,Audience,,,null,51,"Baym, G. (2005). The Daily Show: Discursive integration and the reinvention of political journalism. Political communication, 22(3), 259-276.",https://doi.org/10.1080/10584600591006492 ,"Knoppers, A., & Elling, A. (2004). ‘We Do Not Engage in Promotional Journalism’ Discursive Strategies Used by Sport Journalists to Describe the Selection Process. International Review for the Sociology of Sport, 39(1), 57-73.",https://doi.org/10.1177/1012690204040523,"Hanitzsch, T., & Vos, T. P. (2017). Journalistic roles and the struggle over institutional identity: The discursive constitution of journalism. Communication Theory, 27(2), 115-135.",https://doi.org/10.1111/comt.12112,,,,,,
8601BE51,Documentary Journalism,Time,Dokumentarischer Journalismus,,1971-10-31T05:00:00+0000',999,"Craft, S. (2018). 21 Documentary Journalism. Journalism, 19, 415.",,"Mascaro, T. A. (2018). The blood of others: Television documentary journalism as literary engagement. American Journalism, 35(2), 171-195.",https://doi.org/10.1080/08821127.2018.1455399,"Mertes, C. (2001). Where journalism and television documentary meet. Nieman Reports, 55(3), 53.",,,,,,,
33CA6C88,Dramatic Journalism,Beat,,,1897-08-29T05:00:00+0000',114,"Wright, E. H. (2017). ‘One always catches the"" frou-frou"" of the leading actress’ skirts’: Virginia Woolf’s dramatic journalism.",https://woolf2017.files.wordpress.com/2016/05/conferenceprogramme2.pdf,,,,,,,,,,
9D04E056,Drone Journalism,Technology,,,2011-11-17T23:43:18+0000',651,"Gynnild, A. (2014). The Robot Eye Witness: Extending visual journalism through drone surveillance. Digital journalism, 2(3), 334-343.",https://doi.org/10.1080/21670811.2014.883184 ,"Holton, A. E., Lawson, S., & Love, C. (2015). Unmanned Aerial Vehicles: Opportunities, barriers, and the future of “drone journalism”. Journalism practice, 9(5), 634-650.",https://doi.org/10.1080/17512786.2014.980596 ,"Culver, K. B. (2014). From battlefield to newsroom: Ethical implications of drone technology in journalism. Journal of mass media ethics, 29(1), 52-64.",https://doi.org/10.1080/08900523.2013.829679 ,"""The notion of drone journalism is ambiguous because the meaning of the term ranges from the publication of almost any imagery captured via unmanned aerial systems, through a particular branch of journalism covering technological advances in drones and the implications of their use, through to a distinct kind of journalism with special principles and practices largely determined by drone technology. More generally, drone journalism refers to employing an unmanned aerial vehicle or remotely piloted aircraft, commonly known as a drone, to gather photo and/or video or other external data in order to acquire special perspectives on events or insights from locations of relevance [...].""","Vobič, I. (2019, 29 Apr). Drone Journalism. https://doi.org/10.1002/9781118841570.iejs0124",,,,
A2A8AF49,Embedded Journalism,"Motivation, Beat",,,2003-03-27T05:00:00+0000',1770,"Tuosto, K. (2008). The"" Grunt Truth"" of Embedded Journalism: The New Media/Military Relationship. Stanford Journal of international relations, 10(1), 20-31.",,"Ziede, E. J. (2005). In bed with the military: First Amendment implications of embedded journalism. NYUL Rev., 80, 1309.",,"Feinstein, A., & Nicolson, D. (2005). Embedded journalists in the Iraq war: Are they at greater psychological risk?. Journal of traumatic stress, 18(2), 129-132.",https://doi.org/10.1002/jts.20020,"""Embedded journalism refers to news reporters being attached to military units involved in armed conflicts. While the term could be applied to many historical interactions between journalists and military personnel, it first came to be used in the media coverage of the 2003 invasion of Iraq. The United States military responded to pressure from the country's news media who were disappointed by the level of access granted during the 1991 Gulf War and the 2001 U.S. invasion of Afghanistan. The practice has been criticized as being part of a propaganda campaign whereby embedded journalists accompanied the invading forces as cheerleaders and flacks.""",Embedded Journalism. https://en.wikipedia.org/wiki/Embedded_journalism (05.12.19),,,,
82E73D6B,End-user Journalism,Audience,,,null,124,"Noguera-Vivo, J. M. (2013). How open are journalists on Twitter? Trends towards the end-user journalism.",,"Steensen, S. (2011). Online journalism and the promises of new technology: A critical review and look ahead. Journalism studies, 12(3), 311-327.",https://doi.org/10.1080/1461670X.2010.501151 ,"Karlsen, J., & Stavelin, E. (2014). Computational journalism in Norwegian newsrooms. Journalism practice, 8(1), 34-48.",https://doi.org/10.1080/17512786.2013.813190,,,,,,
5D1A68AA,Engagement Journalism,Audience,,,2011-08-23T17:06:00+0000',631,"Khamis, S., & Vaughn, K. (2011). Cyberactivism in the Egyptian revolution: How civic engagement and citizen journalism tilted the balance. Arab Media and Society, 14(3), 1-25.",,"Allan, S., & Zelizer, B. (Eds.). (2004). Reporting war: Journalism in wartime. Routledge.",,"El-Nawawy, M., & Khamis, S. (2016). Egyptian revolution 2.0: Political blogging, civic engagement, and citizen journalism. Springer.",,,,,,,
C90800B8,Enterprise Journalism,Motivation,,,1970-03-10T05:00:00+0000',485,"Hansen, K. A. (1991). Source diversity and newspaper enterprise journalism. Journalism Quarterly, 68(3), 474-482.",https://doi.org/10.1177/107769909106800318,"Guensburg, C. (2008). Nonprofit news: as news organizations continue to cut back, investigative and enterprise journalism funded by foundations and the like is coming to the fore. American Journalism Review, 30(1), 26-34.",,"Cohen, N. S. (2015). Entrepreneurial journalism and the precarious state of media work. South Atlantic Quarterly, 114(3), 513-533.",https://doi.org/10.1215/00382876-3130723,"""Hierbei verarbeitet der Journalist keine Pressemitteliungen oder fremde Informationen aus Pressekonferenzen, sondern betreibt vor Ort Recherchen. Ziel ist, ein eigenes Thema auf Basis der eigenen Informationsbeschaffung umzusetzen. […] Konkret geht es beim Enterprise Journalism darum, Hintergründe zu beleuchten und Sachverhalte aufzudecken oder dem Konsumenten sogar das Gefühl zu geben, bei der Recherche dabei gewesen zu sein.""","Heck, J. Enterprise Journalism. In: Deutscher Fachjournalisten-Verband (Hrsg.), Journalistische Genres (2017). 37-40.",,,,
18BFA5AE,Entertainment Journalism,"Motivation, Beat",,,1979-05-20T05:00:00+0000',1140,"Winch, S. P. (1997). Mapping the cultural space of journalism: How journalists distinguish news from entertainment. Westport, CT: Praeger.",,"Hanusch, F. (2010). The dimensions of travel journalism: Exploring new fields for journalism research beyond the news. Journalism Studies, 11(1), 68-82.",https://doi.org/10.1080/14616700903290569,"Hartley, J. (2008). Journalism as a human right: The cultural approach to journalism. In Global journalism research: Theories, methods, findings, future (pp. 39-51). Blackwell Publishing.",,"""Entertainment journalism is any form of journalism that focuses on popular culture and the entertainment business and its products. Like fashion journalism, entertainment journalism covers industry-specific news while targeting general audiences beyond those working in the industry itself. Common forms include lifestyle, television and film, theater music, video game, and celebrity coverage.""",Entertainment journalism. https://en.wikipedia.org/wiki/Entertainment_journalism (02.12.19),,,,
4F4E9F37,Entrepreneurial Journalism,Organization,,,2007-12-06T18:38:54+0000',1400,"Briggs, M. (2012). Entrepreneurial journalism: How to build what's next for news. CQ Press.",,"Cohen, N. S. (2015). Entrepreneurial journalism and the precarious state of media work. South Atlantic Quarterly, 114(3), 513-533.",https://doi.org/10.1215/00382876-3130723,"Vos, T. P., & Singer, J. B. (2016). Media discourse about entrepreneurial journalism: Implications for journalistic capital. Journalism Practice, 10(2), 143-159.",https://doi.org/10.1080/17512786.2015.1124730 ,"""Vos and Singer observe how the entrepreneurial journalist is depicted as a founder, an innovator, a trailblazer, a business creator, and a freelancer; one 2014 article used the term 'journopreneur'. [...] Discussions about what is understood by entrepreneurial journalism generally consider where such activity sits with traditional normative conceptions of journalism. A number of themes emerge, including the place of profit and what professional journalists understand by the term.""","Rafter, K. (2019, 29 Apr). Entrepreneurial Journalism. https://doi.org/10.1002/9781118841570.iejs0125",,,,
7CFE40B9,Envelope Journalism,Motivation,Brown Envelope Journalism,,2002-04-14T05:00:00+0000',474,"Skjerdal, T. S. (2010). Research on brown envelope journalism in the African media. African Communication Research, 3(3), 367-406.",,"Skjerdal T. (2018) Brown Envelope Journalism: The Contradiction Between Ethical Mindset and Unethical Practice. In: Mabweazara H. (eds) Newsmaking Cultures in Africa. Palgrave Macmillan, London.",https://doi.org/10.1057/978-1-137-54109-3_8,"Kasoma, T. (2009). Development reporting as a crumbling tower? Impact of brown envelope journalism on journalistic practice in Zambia and Ghana. Global Media Journal-African Edition, 3(1), 18-32.",,,,,,,
6BEC7506,Environmental Journalism,"Motivation, Beat",,,1982-05-30T05:00:00+0000',3980,"Frome, M. (1998). Green ink: An introduction to environmental journalism. Salt Lake City: University of Utah Press.",,"Friedman, S. (2004). And the beat goes on: The third decade of environmental journalism. The environmental communication yearbook, 1, 175-187.",,"Giannoulis, C., Botetzagias, I., & Skanavis, C. (2010). Newspaper reporters’ priorities and beliefs about environmental journalism: An application of Q-methodology. Science Communication, 32(4), 425-466.",https://doi.org/10.1177/1075547010364927,"""Environmental journalism is the collection, verification, production, distribution and exhibition of information regarding current events, trends, and issues associated with the non-human world. To be an environmental journalist, one must have an understanding of scientific language. [...] An enviormental journalist should have a general understanding of current environmental concerns, and the ability to communicate information to the public in a way that is easily understood.""",Environmental journalism. https://en.wikipedia.org/wiki/Environmental_journalism (04.12.19),,,,
F49AE6B8,Esports Journalism,Beat,E-sports Journalism,"Gotfrag, HLTV",null,36,"Scholz, T. M., & Stein, V. (2017). Going beyond ambidexterity in the media industry: eSports as pioneer of ultradexterity. International Journal of Gaming and Computer-Mediated Simulations (IJGCMS), 9(2), 47-62.",https://doi.org/10.4018/IJGCMS.2017040104,"Hamari, J., & Sjöblom, M. (2017). What is eSports and why do people watch it?. Internet research, 27(2), 211-232.",https://doi.org/10.1108/IntR-04-2016-0085,"Vikulov, V. V. (2017). Journalism in eSports. Vestnik TvGU. Ser.: Filologiya, 3, 198-201.",,,,,,,
3B63F20A,Ethnic Journalism,Motivation,,,null,407,"Deuze, M. (2006). Ethnic media, community media and participatory culture. Journalism, 7(3), 262-280.",https://doi.org/10.1177/1464884906065512,"Lin, W. Y., & Song, H. (2006). Geo-ethnic storytelling: An examination of ethnic media content in contemporary immigrant communities. Journalism, 7(3), 362-388.",https://doi.org/10.1177/1464884906065518,"Husband, C. (Ed.). (1994). A richer vision: The development of ethnic minority media in western democracies. Paris: Unesco.",,"""Ethnic journalism is the practice of journalism by, for, and about ethnic groups. [...] [It] relates to how difference is recreated and connected to the social, political, and economic participation of ethnic groups. [...] What sets ethnic journalism apart as a distinct category is the involvement of ethnically differentiated groups living within a dominant culture.""","Lazarte-Morales, A. (2012, 22 Mar). Ethnic Journalism. https://doi.org/10.1002/9781405186407.wbiece036.pub2 ",,,,
26EA5DBE,European Journalism,Location,,,1865-09-29T05:00:00+0000',5550,"Terzis, G. (Ed.). (2009). European journalism education. Intellect Books.",,"Fortunati, L., Sarrica, M., O'Sullivan, J., Balcytiene, A., Harro-Loit, H., Macgregor, P., ... & De Luca, F. (2009). The influence of the Internet on European journalism. Journal of Computer-Mediated Communication, 14(4), 928-963.",https://doi.org/10.1111/j.1083-6101.2009.01476.x ,"Terzis, G. (Ed.). (2008). European media governance: National and regional dimensions. Intellect Books.",,,,,,,
260EED9D,Expert Journalismus,Organization,,,null,2,"Malik, M., & Weischenberg, S. (2016). Journalismus und Wissenschaft: Gemeinsame Sinnhorizonte trotz funktionaler Autonomie?. In Wissenschaftliches Publizieren: Stand und Perspektiven (pp. 151-165). De Gruyter Oldenbourg.",https://doi.org/10.1515/9783110511369-008,"Schulz, U. (2011). Webisodes in der digitalen Medienkultur (Doctoral dissertation, Universität Wien).",https://doi.org/10.25365/thesis.16483,,,,,,,,
3F70492E,Explanatory Journalism,Motivation,Explainer Journalism,,1984-11-22T05:00:00+0000',691,"Parisi, P. (1999). Astonishment and understanding: On the problem of explanation in journalism. Atlantic Journal of Communication, 7(1), 44-64.",,"Hudak, J. (2016). Explanatory Journalism.",,,,,,,,,
C10AAC59,Extractive Journalism,Motivation,,,null,8,"Blank-Libra, J. (2016). Pursuing an ethic of empathy in journalism. Routledge.",,,,,,,,,,,
EC1DAD8B,Facebook Journalism,Medium,,,2017-01-11T15:00:24+0000',689,"Paulussen, S., & Harder, R. A. (2014). Social media references in newspapers: Facebook, Twitter and YouTube as sources in newspaper journalism. Journalism practice, 8(5), 542-551.",https://doi.org/10.1080/17512786.2014.894327 ,"Grabosky, P. N., & Wilson, P. R. (1989). Journalism and justice: How crime is reported. Sydney: Pluto Press.",,"Hille, S., & Bakker, P. (2014). Engaging the social news user: Comments on news sites and Facebook. Journalism Practice, 8(5), 563-572.",https://doi.org/10.1080/17512786.2014.899758 ,,,,,,
AFD07C89,Fashion Journalism,Beat,,,1970-08-23T05:00:00+0000',1830,"Bradford, J. (2014). Fashion journalism. Routledge.",https://doi.org/10.4324/9780203130865,"Winch, S. P. (1997). Mapping the cultural space of journalism: How journalists distinguish news from entertainment. Westport, CT: Praeger.",,"Best, K. N. (2017). The history of fashion journalism. Bloomsbury Publishing.",,"""Fashion journalism is a component of fashion media with a focus on writing and photojournalism. Fashion journalists essentially serve the same purpose as other journalists, but focus specifically on fashion trends and events.""",Fashion journalism. https://en.wikipedia.org/wiki/Fashion_journalism (02.12.19),,,,
97433453,First-Person Journalism,"Motivation, Beat",,,1971-01-15T05:00:00+0000',158,"De la Peña, N., Weil, P., Llobera, J., Giannopoulos, E., Pomés, A., Spanlang, B., ... & Slater, M. (2010). Immersive journalism: immersive virtual reality for the first-person experience of news. Presence: Teleoperators and virtual environments, 19(4), 291-301.",https://doi.org/10.1162/PRES_a_00005,"Lasica, J. D. (2003). Blogs and journalism need each other. Nieman reports, 57(3), 70-74.",,"Atton, C. (2003). What isalternative'journalism?.",,,,,,,
42114A24,Feature Journalism,Motivation,,,1973-05-10T05:00:00+0000',585,"Steensen, S. (2009). Online feature journalism: A clash of discourses. Journalism practice, 3(1), 13-29.",https://doi.org/10.1080/17512780802560716,"Steensen, S. (2009). The shaping of an online feature journalist. Journalism, 10(5), 702-718.",https://doi.org/10.1177/1464884909106540,"Steensen, S. (2011). Online journalism and the promises of new technology: A critical review and look ahead. Journalism studies, 12(3), 311-327.",https://doi.org/10.1080/1461670X.2010.501151,"""Feature journalism can be defined as a family of genres that share a common exigence, understood as a publicly recognized need to be entertained and connected with other people on a mainly emotional level by accounts of personal experiences that are related to contemporary events of perceived public interest.""","Steensen, S. (2018, Aug). Feature Journalism. Doi: 10.1093/acrefore/9780190228613.013.810 Er nennt noch drei characteristics that have dominated feature journalism: intimate, literary und adventurous. Nennt auch noch eine der ersten appearances des Begriffs in: Harrington, 1912, p. 294",,,,
AAFF145D,Feminist Journalism,"Motivation, Beat",,,1998-07-08T05:00:00+0000',548,"van Zoonen, E. A., & van Zoonen, L. (1994). Feminist media studies (Vol. 9). Sage.",,"Curran, J., & Hesmondhalgh, D. (2019). Media and Society. Bloomsbury Academic.",,"Van Zoonen, L. (1991). Feminist perspectives on the media (pp. pp-33). na.",,"""Feminists have always used available media technologies to disseminate feminist news, to promote feminist causes, to challenge dominant conceptions of women, and to dramatize new, relevant, empowering visions of womanhood and, indeed, of society."" ""It therefore avoids relying on mainstream media to represent women or to disseminate relevant news. As a result, feminist newspapers, magazines, broadcasting and cable, documentary film, and now especially Internet sites produced by, for, and about women around the world provide content advocating expanded political, social, and cultural roles for women.""","Steiner, L. (2019, 29 Apr). Feminist Journalism. https://doi.org/10.1002/9781118841570.iejs0130",,,,
BEEAEACA,Fight Journalism,Beat,,,1933-05-03T05:00:00+0000',10,"Folkerts, J. (2014). History of journalism education. Journalism & Communication Monographs, 16(4), 227-299.",,,,,,,,,,,
4815BA83,Financial Journalism,Beat,,,1875-01-21T05:00:00+0000',2680,"Doyle, G. (2006). Financial news journalism: A post-Enron analysis of approaches towards economic and financial news production in the UK. Journalism, 7(4), 433-452.",https://doi.org/10.1177/1464884906068361,"Manning, P. (2013). Financial journalism, news sources and the banking crisis. Journalism, 14(2), 173-189.",https://doi.org/10.1177/1464884912448915,"Tambini, D. (2010). What are financial journalists for?. Journalism studies, 11(2), 158-174.",https://doi.org/10.1080/14616700903378661,"""On a fundamental level, financial journalism provides information to individuals that helps them make informed economic choices [...]. [...] The focus of financial journalism is quite consistent no matter what country or language it is published in: broadly defined, financial journalism encompasses news about financial markets, macroeconomic data and trends, government economic policy, corporate news (especially earnings announcements), personal finance, and commentary about all of the above.""","Timmermanns, J. (2019, Aug). Financial Journalism. Doi: 10.1093/acrefore/9780190228613.013.812",,,,
5C785A42,Folk Journalism,"Medium, Motivation",,,null,112,"Nielsen, R. K. (2016). Folk theories of journalism: the many faces of a local newspaper. Journalism Studies, 17(7), 840-848.",,"Palmer, R. A. (2019). A “deep story” about American journalism: Using “episodes” to explore folk theories of journalism. Journalism Studies, 20(3), 327-344.",,,,"""Taken together, these features of the citizen- produced weblog, notably its ability to steer mainstream news media coverage, its capacity for independent, alternative news reporting, and its juxtaposition of news reporting and commentary from a diverse range of sources, has led observers to characterize weblog coverage as ‘‘amateur journalism’’ (Lasica, 2003), ‘‘folk journalism’’ (Mortensen and Walker, 2002), and ‘‘personal journalism’’ (Allan, 2002).""","Haas, T. (2005). From “Public Journalism” to the “Public's Journalism”? Rhetoric and reality in the discourse on weblogs. Journalism Studies 6(3), 387-396. DOI: 10.1080/14616700500132073",,,,
52981929,Foundation Journalism,Organization,,,1960-05-08T05:00:00+0000',293,"Hanitzsch, T. (2007). Situating peace journalism in journalism studies: A critical appraisal. Conflict & Communication, 6(2).",http://dx.doi.org/10.5930/issn.1618-0747,"Lamble, S. (2013). News as it happens: An introduction to journalism. Oxford University Press.",http://doi.org/10.978.97801/90303747,"Gray, J., Chambers, L., & Bounegru, L. (2012). The data journalism handbook: how journalists can use data to improve the news. "" O'Reilly Media, Inc."".","https://doi.org/10.5281/zenodo.1281348
",,,,,,
E725490D,Freelance Journalism,Organization,,,1964-11-27T05:00:00+0000',1860,"Hunter, A. (2015). Crowdfunding independent and freelance journalism: Negotiating journalistic norms of autonomy and objectivity. New Media & Society, 17(2), 272-288.
",https://doi.org/10.1177%2F1461444814558915,"Cohen, N. S. (2016). Writers' rights: freelance journalism in a digital age. McGill-Queen's Press-MQUP.",https://doi.org/10.1111/wusa.12292,"Franklin, B. (Ed.). (2005). Local journalism and local media: Making the local news. Routledge.",,,,,,,
DC7489F0,Garbage Journalism,"Motivation, Organization, Audience",,,2017-07-01T15:13:18+0000',12,"West, S. R. (2018). Suing the President for First Amendment Violations. Okla. L. Rev., 71, 321.",,,,,,,,,,,
4941AE3E,Gender Sensitive Journalism,"Motivation, Organizaiotn, Audience",Gender-sensitive Journalism,,null,59,"Minić, D. (2010). Gender-sensitive Journalism and Television Media in Serbia and Croatia. Unpublished PhD dissertation). Central European University: Budapest.",,,,,,,,,,,
BF81EC1F,Geo-social Journalism,Location,,,null,84,"Hess, K., & Waller, L. (2014). Geo-social journalism: reorienting the study of small commercial newspapers in a digital environment. Journalism Practice, 8(2), 121-136.",https://doi.org/10.1080/17512786.2013.859825,"Robinson, S. (2014). Introduction: Community journalism midst media revolution.",https://doi.org/10.1080/17512786.2013.859822,"Downman, S., & Ubayasiri, K. (2017). Introduction to Journalism for Social Change. In Journalism for Social Change in Asia (pp. 1-23). Palgrave Macmillan, London.",https://doi.org/10.1057/978-1-349-95179-6_1,"""The practice of “geo-social journalism”, meanwhile, has two dimensions. Firstly, journalists must engage with the land (environment/agriculture/industry), populations, histories and cultures of the places they report news. Secondly, it involves connections and understandings of the shifting constellations of global and national systems, issues and relationships of the digital era. Finally, [...] by its very nature, “geo-social journalism” eschews theoretical universalizing and instead demands fine-grained analyses of the specific dynamic of each “geo-social” publication, its setting and the practices which shape it and it in turn shapes.""","Hess, K., & Waller, L. (2014). Geo-social journalism: reorienting the study of small commercial newspapers in a digital environment. Journalism Practice, 8(2), 121-136.",,,,
97FF0804,Global Journalism,Location,,,1994-04-10T05:00:00+0000',5700,"Deuze, M. (2006). Global journalism education: A conceptual approach. Journalism studies, 7(1), 19-34.",https://doi.org/10.1080/14616700500450293 ,"Berglez, P. (2008). What is global journalism? Theoretical and empirical conceptualisations. Journalism Studies, 9(6), 845-858.",https://doi.org/10.1080/14616700802337727 ,"Ward, S. J. (2005). Philosophical foundations for global journalism ethics. Journal of Mass Media Ethics, 20(1), 3-21.",https://doi.org/10.1207/s15327728jmme2001_2 ,"""Two dominant approaches underline the theory, practice, and methodology of global journalism. The first approach captures the various ways that journalism is practiced in different countries. [...] The second approach examines the underlying notion of globalization of the interconnected nature of the world and of global journalistic practices that not only relativize the significance of the nation state but also highlight the forces that shape the global village.""","Obijiofor, L. & Hanusch, F. (2019, Feb). Global Journalism. https://oxfordre.com/communication/view/10.1093/acrefore/9780190228613.001.0001/acrefore-9780190228613-e-820?rskey=rwRBNu&result=1",,,,
F9402688,Gonzo Journalism,Motivation,,"Hunter S. Thompson, Tom Kummer",1972-07-23T05:00:00+0000',1680,"Caron, J. E. (1985). Hunter S. Thompson's"" Gonzo"" Journalism and the Tall Tale Tradition in America. Studies in Popular Culture, 8(1), 1-16.",,"Tamony, P. (1983). Gonzo. American Speech, 58(1), 73-75.",DOI: 10.2307/454762 ,"Czarnobai, A. F. P. (2003). Gonzo–o filho bastardo do New Journalism. Porto Alegre.",,"""Gonzo journalism is a style of journalism that is written without claims of objectivity, often including the reporter as part of the story via a first-person narrative. [...] It is an energetic first-person participatory writing style in which the author is a protagonist, and it draws its power from a combination of social critique and self-satire.""",Gonzo journalism. https://en.wikipedia.org/wiki/Gonzo_journalism (02.12.19),,,,
BBBE7DE7,Gotcha Journalism,Motivation,,,1996-09-08T05:00:00+0000',500,"박주현. (2007). 가차 저널리즘 (Gotcha Journalism) 의 뉴스담론 구성에 관한 탐색적 연구:‘이해찬 골프사건’과 ‘이명박 테니스사건’을 중심으로. 언론과학연구, 7(1), 108-143.",,"Zelizer, B., & Allan, S. (2010). Keywords in news and journalism studies. McGraw-Hill Education (UK).",,"Rowse, A. E. (2000). Drive-by journalism: The assault on your need to know. Common Courage Pr.",,"""""Gotcha journalism"" is a pejorative term used by media critics to describe interviewing methods that appear designed to entrap interviewees into making statements that are damaging or discreditable to their cause, character, integrity, or reputation. The term is rooted in an assertion that the interviewer may be supporting a hidden agenda, and aims to make film or sound recordings of the interviewee which may be selectively edited, compiled, and broadcast or published in order to intentionally show the subject in an unfavorable light.""",Gotcha Journalism. https://en.wikipedia.org/wiki/Gotcha_journalism (05.12.19),,,,
